Time in secs,Rate per sec,ln(Rate),Error in rate
12,51,3.931825633,2.10378663
24.1,50.7,3.925925911,2.097715989
36.1,48,3.871201011,2.04225147
48.1,39.3,3.671224519,1.852009769
60.1,43.9,3.78191432,1.954955428
72.2,40.6,3.703768067,1.881687087
84.2,40,3.688879454,1.86804974
96.2,34.8,3.549617387,1.74529335
108.2,32,3.465735903,1.675377725
120.3,33.8,3.520460802,1.720657726
132.3,32.8,3.490428515,1.695655204
144.3,30.8,3.42751469,1.64448059
156.3,28,3.33220451,1.569960055
168.3,24.3,3.19047635,1.465516986
180.4,27.8,3.325036021,1.564497629
192.4,22.3,3.104586678,1.40573583
204.4,23.5,3.157000421,1.44191082
216.4,20.9,3.039749159,1.3622799
228.5,21.8,3.08190997,1.390376602
240.5,18.2,2.901421594,1.274152802
252.5,16.6,2.809402695,1.218820319
264.5,17.9,2.884800713,1.263968781
276.5,16.7,2.815408719,1.222354564
288.6,14.7,2.687847494,1.149529558
300.6,14.7,2.687847494,1.149529558
312.6,14.6,2.681021529,1.145762241
324.6,13.5,2.602689685,1.103439819
336.7,13.4,2.595254707,1.09950838
348.7,12.3,2.509599262,1.055256625
360.7,12.8,2.549445171,1.075605856
372.7,9.9,2.292534757,0.951265802
384.7,9.8,2.282382386,0.946673609
396.8,9.4,2.240709689,0.928066951
408.8,9,2.197224577,0.909061306
420.8,9,2.197224577,0.909061306
432.8,10,2.302585093,0.955834945
444.8,8.2,2.104134154,0.869742596
456.8,8.7,2.163323026,0.894529219
468.9,6.7,1.902107526,0.790476847
480.9,6.5,1.871802177,0.779264887
492.9,6,1.791759469,0.750459651
504.9,5.8,1.757857918,0.738604366
517,5.8,1.757857918,0.738604366
529,5.2,1.648658626,0.70176257
541,4.9,1.589235205,0.682548195
553,6.1,1.808288771,0.756313571
565,4.1,1.410986974,0.628241989
577.1,5.4,1.686398954,0.714267368
589.1,4.9,1.589235205,0.682548195
601.1,4.2,1.435084525,0.635301898
613.1,5.2,1.648658626,0.70176257
625.1,3.9,1.360976553,0.613861023
637.2,3.8,1.335001067,0.606533324
649.2,3.7,1.30833282,0.599109361
661.2,4.3,1.458615023,0.642278872
673.2,3.8,1.335001067,0.606533324
685.2,2.8,1.029619417,0.52721563
697.3,3.3,1.193922468,0.568368725
709.3,3.2,1.16315081,0.560399178
721.3,2.8,1.029619417,0.52721563
733.3,2.6,0.955511445,0.509743242
745.3,3,1.098612289,0.544081241
